#GaiaDR3-ULENS-,t_0_par,t_0,err_t_0_pl,err_t_0_mn,u_0,err_u_0_pl,err_u_0_mn,t_E,err_t_E_pl,err_t_E_mn,pi_EN,err_pi_EN_pl,err_pi_EN_mn,pi_EE,err_pi_EE_pl,err_pi_EE_mn,I_G0,err_I_G0_pl,err_I_G0_mn,fb_G,err_fb_G_pl,err_fb_G_mn,I_BP0,err_I_BP0_pl,err_I_BP0_mn,f_bBP,err_f_bBP_pl,err_f_bBP_mn,I_RP0,err_I_RP0_pl,err_I_RP0_mn,f_bRP,err_f_bRP_pl,err_f_bRP_mn,I_GSA,err_I_GSA_pl,err_I_GSA_mn,f_bGSA,err_f_bGSA_pl,err_f_bGSA_mn,I_V0,err_I_V0_pl,err_I_V0_mn,f_bV,err_f_bV_pl,err_f_bV_mn,I_OGLE0,err_I_OGLE0_pl,err_I_OGLE0_mn,f_bOGLE,err_f_bOGLE_pl,err_f_bOGLE_mn,I_KMTA,err_I_KMTA_pl,err_I_KMTA_mn,f_bKMTA,err_f_bKMTA_pl,err_f_bKMTA_mn,I_KMTC,err_I_KMTC_pl,err_I_KMTC_mn,f_bKMTC,err_f_bKMTC_pl,err_f_bKMTC_mn,I_KMTS,err_I_KMTS_pl,err_I_KMTS_mn,f_bKMTS,err_f_bKMTS_pl,err_f_bKMTS_mn,I_MOA,err_I_MOA_pl,err_I_MOA_mn,f_bMOA,err_f_bMOA_pl,err_f_bMOA_mn,MOA_V,err_I_MOA_V_pl ,err_I_MOA_V_mn  ,f_b_MOA_V,err_f_bMOA_V_pl ,err_f_bMOA_V_mn,chi2,comment
078-G0,--,6956.96,2.42,1.49,0.33,0.16,0.08,45.11,7.38,8.13,--,--,--,--,--,--,17.20,0.01,0.01,0.80,0.06,0.16,17.58,0.01,0.01,0.78,0.07,0.18,15.96,0.01,0.01,0.88,0.04,0.10,--,--,--,--,--,--,16.28,0.01,0.01,0.80,0.06,0.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,896.72,
078-G+,6956.00,6957.89,2.47,1.88,0.59,0.21,0.19,32.34,9.23,5.00,1.34,0.34,0.49,0.95,0.68,0.54,17.20,0.01,0.01,0.52,0.22,0.35,17.58,0.01,0.01,0.48,0.24,0.39,15.96,0.01,0.01,0.72,0.13,0.21,--,--,--,--,--,--,16.28,0.01,0.01,0.53,0.22,0.35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,895.43,
078-G-,6956.00,6957.16,2.37,1.63,-0.49,0.23,0.26,34.47,18.71,8.47,-0.34,1.05,0.69,0.34,0.55,0.34,17.20,0.01,0.01,0.64,0.21,0.38,17.58,0.01,0.01,0.61,0.23,0.42,15.96,0.01,0.01,0.79,0.12,0.22,--,--,--,--,--,--,16.28,0.01,0.01,0.65,0.20,0.37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,898.1,
079-G0,--,7301.77,0.04,0.04,0.25,0.01,0.01,104.75,0.63,0.62,--,--,--,--,--,--,17.23,0.01,0.01,0.48,0.01,0.01,17.85,0.01,0.01,0.32,0.01,0.01,16.39,0.01,0.01,0.51,0.01,0.01,--,--,--,--,--,--,16.34,0.01,0.01,0.42,0.01,0.01,--,--,--,--,--,--,16.69,0.01,0.01,-0.02,0.01,0.01,16.59,0.01,0.01,-0.04,0.01,0.01,17.80,0.01,0.01,-0.30,0.01,0.01,16.30,0.01,0.01,0.39,0.01,0.01,17.52,0.01,0.01,0.51,0.01,0.01,106451.49,
079-G+,7301.00,7301.46,0.04,0.04,0.16,0.01,0.01,160.94,2.12,1.96,-0.05,0.01,0.01,-0.09,0.01,0.01,17.24,0.01,0.01,0.70,0.01,0.01,17.86,0.01,0.01,0.61,0.01,0.01,16.40,0.01,0.01,0.72,0.01,0.01,--,--,--,--,--,--,16.34,0.01,0.01,0.67,0.01,0.01,--,--,--,--,--,--,16.69,0.01,0.01,0.42,0.01,0.01,16.60,0.01,0.01,0.41,0.01,0.01,17.81,0.01,0.01,0.26,0.02,0.02,16.31,0.01,0.01,0.65,0.01,0.01,17.53,0.01,0.01,0.72,0.01,0.01,98563.8,
079-G-,7301.00,7301.50,0.04,0.04,-0.17,0.01,0.01,153.49,1.28,1.24,0.03,0.01,0.01,-0.09,0.01,0.01,17.24,0.01,0.01,0.68,0.01,0.01,17.86,0.01,0.01,0.58,0.01,0.01,16.40,0.01,0.01,0.70,0.01,0.01,--,--,--,--,--,--,16.34,0.01,0.01,0.64,0.01,0.01,--,--,--,--,--,--,16.69,0.01,0.01,0.38,0.01,0.01,16.60,0.01,0.01,0.36,0.01,0.01,17.81,0.01,0.01,0.20,0.01,0.01,16.31,0.01,0.01,0.62,0.01,0.01,17.53,0.01,0.01,0.70,0.01,0.01,98657.94,
088-G0,--,7670.33,0.13,0.13,0.53,0.01,0.01,110.92,1.15,1.15,--,--,--,--,--,--,17.36,0.01,0.01,0.02,0.02,0.03,--,--,--,--,--,--,16.30,0.01,0.01,-0.03,0.03,0.03,--,--,--,--,--,--,16.22,0.01,0.01,0.01,0.03,0.03,--,--,--,--,--,--,16.18,0.01,0.01,0.26,0.02,0.02,16.21,0.01,0.01,-0.39,0.04,0.04,16.25,0.01,0.01,-0.38,0.04,0.04,16.23,0.01,0.01,-0.20,0.03,0.03,18.52,0.01,0.01,-0.25,0.03,0.03,42058.82,
088-G+,7668.00,7668.69,0.15,0.14,0.42,0.02,0.02,127.81,3.18,3.22,-0.03,0.01,0.01,-0.02,0.01,0.01,17.36,0.01,0.01,0.30,0.04,0.05,--,--,--,--,--,--,16.30,0.01,0.01,0.26,0.04,0.05,--,--,--,--,--,--,16.22,0.01,0.01,0.30,0.04,0.05,--,--,--,--,--,--,16.18,0.01,0.01,0.48,0.03,0.04,16.21,0.01,0.01,0.04,0.06,0.07,16.24,0.01,0.01,0.05,0.06,0.07,16.23,0.01,0.01,0.16,0.05,0.06,18.52,0.01,0.01,0.13,0.05,0.06,41329.19,
088-G-,7668.00,7668.75,0.14,0.13,-0.45,0.01,0.01,119.05,1.13,1.13,0.06,0.01,0.01,-0.02,0.01,0.01,17.36,0.01,0.01,0.23,0.02,0.02,--,--,--,--,--,--,16.30,0.01,0.01,0.18,0.02,0.03,--,--,--,--,--,--,16.22,0.01,0.01,0.23,0.02,0.03,--,--,--,--,--,--,16.18,0.01,0.01,0.43,0.02,0.02,16.21,0.01,0.01,-0.07,0.03,0.03,16.24,0.01,0.01,-0.06,0.03,0.03,16.23,0.01,0.01,0.07,0.03,0.03,18.52,0.01,0.01,0.04,0.03,0.03,41252.79,
089-G0,--,7645.83,0.02,0.02,0.42,0.01,0.01,57.42,0.48,0.47,--,--,--,--,--,--,17.37,0.01,0.01,-0.50,0.03,0.03,--,--,--,--,--,--,16.12,0.01,0.01,-0.39,0.02,0.02,--,--,--,--,--,--,16.15,0.01,0.01,-0.52,0.03,0.03,--,--,--,--,--,--,16.54,0.01,0.01,-1.40,0.04,0.04,16.57,0.01,0.01,-1.96,0.05,0.05,16.54,0.01,0.01,-2.11,0.05,0.05,--,--,--,--,--,--,--,--,--,--,--,--,8005.84,
089-G+,7645.00,7645.17,0.04,0.04,0.30,0.01,0.01,72.13,1.37,1.11,-0.16,0.06,0.05,-0.12,0.01,0.01,17.38,0.01,0.01,0.07,0.04,0.04,--,--,--,--,--,--,16.13,0.01,0.01,0.13,0.04,0.04,--,--,--,--,--,--,16.15,0.01,0.01,0.05,0.05,0.04,--,--,--,--,--,--,16.53,0.01,0.01,-0.49,0.07,0.07,16.57,0.01,0.01,-0.84,0.09,0.09,16.54,0.01,0.01,-0.94,0.09,0.09,--,--,--,--,--,--,--,--,--,--,--,--,6398.84,
089-G-,7645.00,7645.17,0.04,0.03,-0.30,0.01,0.01,71.38,1.51,1.11,0.26,0.06,0.08,-0.12,0.01,0.01,17.38,0.01,0.01,0.08,0.05,0.05,--,--,--,--,--,--,16.13,0.01,0.01,0.14,0.05,0.04,--,--,--,--,--,--,16.16,0.01,0.01,0.06,0.05,0.05,--,--,--,--,--,--,16.54,0.01,0.01,-0.47,0.08,0.08,16.57,0.01,0.01,-0.82,0.10,0.10,16.54,0.01,0.01,-0.91,0.10,0.10,--,--,--,--,--,--,--,--,--,--,--,--,6395.42,
097-G0,--,7782.10,1.64,1.57,0.29,0.06,0.05,109.12,11.69,10.73,--,--,--,--,--,--,17.43,0.01,0.01,0.84,0.03,0.05,--,--,--,--,--,--,16.12,0.01,0.01,0.85,0.03,0.05,--,--,--,--,--,--,16.36,0.01,0.01,0.85,0.03,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,434.54,
097-G+,7782.00,7770.79,2.75,2.53,0.70,0.13,0.19,55.42,12.11,5.70,0.20,0.13,0.13,0.19,0.06,0.07,17.43,0.01,0.01,0.28,0.30,0.27,--,--,--,--,--,--,16.12,0.01,0.01,0.34,0.28,0.25,--,--,--,--,--,--,16.36,0.01,0.01,0.28,0.31,0.27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,425.24,
097-G-,7782.00,7770.73,2.61,2.41,-0.69,0.18,0.14,55.46,11.31,5.76,-0.20,0.12,0.14,0.19,0.06,0.06,17.43,0.01,0.01,0.29,0.28,0.27,--,--,--,--,--,--,16.12,0.01,0.01,0.35,0.26,0.25,--,--,--,--,--,--,16.36,0.01,0.01,0.29,0.28,0.27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,425.23,
103-G0,--,7789.01,0.29,0.30,0.05,0.01,0.01,65.06,2.61,2.42,--,--,--,--,--,--,17.56,0.01,0.01,0.03,0.07,0.07,18.70,0.01,0.01,-0.00,0.07,0.07,16.53,0.01,0.01,0.02,0.07,0.07,--,--,--,--,--,--,18.58,0.01,0.01,-0.00,0.06,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,209.15,
103-G+,7788.00,7788.99,0.29,0.28,0.05,0.01,0.01,61.19,5.01,3.88,0.05,0.25,0.29,0.09,0.07,0.06,17.55,0.01,0.01,-0.03,0.11,0.09,18.70,0.01,0.01,-0.07,0.12,0.10,16.52,0.01,0.01,-0.04,0.11,0.09,--,--,--,--,--,--,18.58,0.01,0.01,-0.07,0.11,0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,207.43,
103-G-,7788.00,7789.01,0.29,0.29,-0.05,0.01,0.01,61.69,6.34,4.66,0.07,0.26,0.33,0.08,0.07,0.06,17.55,0.01,0.01,-0.02,0.12,0.10,18.70,0.01,0.01,-0.06,0.13,0.11,16.52,0.01,0.01,-0.04,0.13,0.10,--,--,--,--,--,--,18.58,0.01,0.01,-0.06,0.12,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,207.28,
118-G0,--,7670.17,0.59,0.56,0.09,0.02,0.03,79.66,3.69,3.54,--,--,--,--,--,--,17.73,0.01,0.01,0.13,0.08,0.08,18.33,0.01,0.01,0.01,0.09,0.10,--,--,--,--,--,--,--,--,--,--,--,--,18.96,0.01,0.01,0.06,0.07,0.07,nan,nan,nan,2.21,3.05,4.30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,392.33,
118-G+,7668.00,7668.27,0.31,0.30,0.04,0.01,0.01,71.23,19.31,9.40,0.74,0.07,0.08,0.65,0.15,0.17,17.72,0.01,0.01,0.10,0.23,0.18,18.33,0.01,0.01,-0.03,0.26,0.20,--,--,--,--,--,--,--,--,--,--,--,--,18.96,0.01,0.01,0.16,0.22,0.18,nan,nan,nan,0.66,0.14,0.25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,266.22,
118-G-,7668.00,7668.17,0.34,0.31,-0.04,0.01,0.02,77.01,21.75,11.30,0.75,0.06,0.07,0.69,0.17,0.16,17.72,0.01,0.01,0.13,0.22,0.19,18.33,0.01,0.01,0.01,0.25,0.22,--,--,--,--,--,--,--,--,--,--,--,--,18.96,0.01,0.01,0.18,0.21,0.19,nan,nan,nan,0.61,0.17,0.32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,265.93,
127-G0,--,7851.15,0.15,0.15,0.27,0.01,0.01,123.51,4.01,3.82,--,--,--,--,--,--,17.86,0.01,0.01,0.77,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.79,0.01,0.01,0.79,0.01,0.01,--,--,--,--,--,--,16.76,0.01,0.01,0.83,0.01,0.01,16.86,0.01,0.01,0.79,0.01,0.01,16.77,0.01,0.01,0.74,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,13196.13,
127-G+,7851.00,7851.37,0.35,0.36,0.31,0.02,0.01,153.30,5.54,5.44,-0.39,0.03,0.03,-0.03,0.01,0.01,17.87,0.01,0.01,0.73,0.02,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.79,0.01,0.01,0.74,0.01,0.02,--,--,--,--,--,--,16.76,0.01,0.01,0.79,0.01,0.01,16.86,0.01,0.01,0.75,0.01,0.02,16.77,0.01,0.01,0.68,0.02,0.02,--,--,--,--,--,--,--,--,--,--,--,--,13266.64,
127-G-,7851.00,7851.53,0.40,0.41,-0.25,0.01,0.01,195.31,8.46,8.52,0.39,0.02,0.02,-0.05,0.01,0.01,17.87,0.01,0.01,0.79,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.79,0.01,0.01,0.80,0.01,0.01,--,--,--,--,--,--,16.76,0.01,0.01,0.84,0.01,0.01,16.86,0.01,0.01,0.80,0.01,0.01,16.77,0.01,0.01,0.76,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,13266.64,
142-G0,--,7291.99,0.58,0.60,0.71,0.04,0.04,99.68,3.22,3.02,--,--,--,--,--,--,18.03,0.01,0.01,-0.37,0.12,0.13,--,--,--,--,--,--,16.65,0.01,0.01,-0.36,0.12,0.13,--,--,--,--,--,--,16.73,0.01,0.01,-0.51,0.14,0.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1552.47,
142-G1+,7289.00,7282.58,1.12,1.23,0.56,0.06,0.08,114.64,8.50,5.94,-0.03,0.05,0.05,-0.08,0.01,0.01,18.03,0.01,0.01,0.01,0.20,0.19,--,--,--,--,--,--,16.65,0.01,0.01,0.02,0.20,0.18,--,--,--,--,--,--,16.73,0.01,0.01,0.02,0.20,0.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1317.84,
142-G2+,7289.00,7284.86,1.09,1.12,0.35,0.06,0.04,144.70,11.29,12.45,-0.18,0.05,0.03,-0.06,0.01,0.01,18.03,0.01,0.01,0.51,0.07,0.12,--,--,--,--,--,--,16.65,0.01,0.01,0.51,0.07,0.12,--,--,--,--,--,--,16.73,0.01,0.01,0.51,0.07,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1309.98,
142-G1-,7289.00,7284.93,1.10,1.13,-0.38,0.04,0.06,135.45,9.85,10.70,0.20,0.03,0.05,-0.04,0.01,0.01,18.03,0.01,0.01,0.45,0.08,0.13,--,--,--,--,--,--,16.65,0.01,0.01,0.46,0.08,0.13,--,--,--,--,--,--,16.73,0.01,0.01,0.45,0.08,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1310.34,
142-G2-,7289.00,7282.36,1.20,1.31,-0.58,0.06,0.05,113.78,5.72,5.18,0.02,0.05,0.05,-0.08,0.01,0.01,18.03,0.01,0.01,-0.04,0.17,0.16,--,--,--,--,--,--,16.65,0.01,0.01,-0.03,0.16,0.16,--,--,--,--,--,--,16.73,0.01,0.01,-0.03,0.17,0.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1318.3,
143-G0,--,7044.29,2.47,2.33,0.01,0.10,0.10,60.27,2.09,1.90,--,--,--,--,--,--,18.03,0.01,0.01,-0.33,0.14,0.15,--,--,--,--,--,--,17.05,0.01,0.01,-0.25,0.14,0.14,--,--,--,--,--,--,19.03,0.01,0.01,-0.14,0.13,0.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,251.38,
143-G+,7048.00,7047.81,9.19,7.26,0.13,0.13,0.09,104.81,55.43,25.04,0.38,0.18,0.38,-0.16,0.14,0.11,18.03,0.01,0.01,0.45,0.28,0.40,--,--,--,--,--,--,17.06,0.01,0.01,0.47,0.28,0.39,--,--,--,--,--,--,19.03,0.01,0.01,0.50,0.26,0.38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,225.81,
143-G-,7048.00,7050.97,13.62,8.92,-0.18,0.10,0.10,104.33,42.19,21.68,0.40,0.19,0.38,-0.15,0.18,0.14,18.03,0.01,0.01,0.39,0.27,0.37,--,--,--,--,--,--,17.06,0.01,0.01,0.40,0.26,0.36,--,--,--,--,--,--,19.03,0.01,0.01,0.44,0.25,0.35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,225.22,
155-G0,--,7437.48,0.02,0.02,0.09,0.01,0.01,71.17,0.53,0.52,--,--,--,--,--,--,18.13,0.01,0.01,0.29,0.01,0.01,--,--,--,--,--,--,17.19,0.01,0.01,0.22,0.01,0.01,--,--,--,--,--,--,17.05,0.01,0.01,0.30,0.01,0.01,--,--,--,--,--,--,16.92,0.01,0.01,0.30,0.01,0.01,16.94,0.01,0.01,0.11,0.01,0.01,16.95,0.01,0.01,0.12,0.01,0.01,17.04,0.01,0.01,0.17,0.01,0.01,18.92,0.01,0.01,0.16,0.01,0.01,18174.7,
155-G+,7437.00,7437.44,0.02,0.02,0.10,0.01,0.01,64.78,1.29,1.26,0.03,0.06,0.10,0.06,0.02,0.01,18.13,0.01,0.01,0.20,0.02,0.02,--,--,--,--,--,--,17.19,0.01,0.01,0.13,0.02,0.02,--,--,--,--,--,--,17.05,0.01,0.01,0.21,0.02,0.02,--,--,--,--,--,--,16.92,0.01,0.01,0.21,0.02,0.02,16.94,0.01,0.01,-0.00,0.03,0.03,16.95,0.01,0.01,0.01,0.03,0.03,17.04,0.01,0.01,0.07,0.02,0.02,18.92,0.01,0.01,0.06,0.02,0.03,18134.85,
155-G1-,7437.00,7437.42,0.03,0.03,-0.10,0.01,0.01,62.71,1.49,1.49,-0.24,0.09,0.08,0.10,0.03,0.02,18.13,0.01,0.01,0.17,0.02,0.02,--,--,--,--,--,--,17.19,0.01,0.01,0.10,0.02,0.03,--,--,--,--,--,--,17.05,0.01,0.01,0.19,0.02,0.02,--,--,--,--,--,--,16.92,0.01,0.01,0.19,0.02,0.02,16.95,0.01,0.01,-0.03,0.03,0.03,16.95,0.01,0.01,-0.01,0.03,0.03,17.04,0.01,0.01,0.05,0.02,0.03,18.92,0.01,0.01,0.03,0.03,0.03,18101.73,
155-G2-,7437.00,7437.44,0.02,0.02,-0.10,0.01,0.01,64.97,1.29,1.25,0.04,0.07,0.08,0.06,0.01,0.01,18.13,0.01,0.01,0.20,0.02,0.02,--,--,--,--,--,--,17.19,0.01,0.01,0.13,0.02,0.02,--,--,--,--,--,--,17.05,0.01,0.01,0.21,0.02,0.02,--,--,--,--,--,--,16.92,0.01,0.01,0.21,0.02,0.02,16.94,0.01,0.01,-0.00,0.02,0.02,16.95,0.01,0.01,0.02,0.02,0.02,17.04,0.01,0.01,0.08,0.02,0.02,18.92,0.01,0.01,0.06,0.02,0.02,18118.94,
196-G0,--,7354.68,1.30,1.33,0.25,0.24,0.18,80.01,9.64,9.90,--,--,--,--,--,--,18.49,0.01,0.01,0.49,0.13,0.33,--,--,--,--,--,--,16.88,0.01,0.01,0.59,0.11,0.27,--,--,--,--,--,--,17.08,0.01,0.01,0.52,0.12,0.25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1083.62,
196-G+,7356.00,7346.51,7.79,14.40,0.03,0.01,0.01,1351.17,444.18,505.19,-0.08,0.04,0.04,-0.05,0.04,0.05,18.49,0.01,0.01,0.98,0.01,0.01,--,--,--,--,--,--,16.89,0.01,0.01,0.99,0.01,0.01,--,--,--,--,--,--,17.08,0.01,0.01,0.99,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1067.1,
196-G-,7356.00,7317.27,13.39,17.75,-0.03,0.01,0.02,1326.38,473.47,591.34,0.03,0.05,0.09,-0.09,0.04,0.03,18.49,0.01,0.01,0.98,0.01,0.01,--,--,--,--,--,--,16.89,0.01,0.01,0.98,0.01,0.01,--,--,--,--,--,--,17.08,0.01,0.01,0.98,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1071.54,
212-G0,--,7879.01,0.01,0.01,0.16,0.01,0.01,56.26,0.31,0.30,--,--,--,--,--,--,18.38,0.01,0.01,-0.00,0.01,0.01,19.96,0.01,0.01,0.01,0.01,0.01,17.25,0.01,0.01,-0.09,0.01,0.01,--,--,--,--,--,--,17.21,0.01,0.01,-0.03,0.01,0.01,--,--,--,--,--,--,17.06,0.01,0.01,0.11,0.01,0.01,17.05,0.01,0.01,-0.40,0.01,0.01,17.04,0.01,0.01,-0.10,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,20522.71,
212-G+,7879.00,7879.06,0.01,0.01,0.16,0.01,0.01,56.06,0.31,0.31,-0.08,0.05,0.05,-0.06,0.02,0.02,18.38,0.01,0.01,-0.01,0.01,0.01,19.96,0.01,0.01,-0.01,0.01,0.01,17.25,0.01,0.01,-0.11,0.01,0.01,--,--,--,--,--,--,17.21,0.01,0.01,-0.04,0.01,0.01,--,--,--,--,--,--,17.06,0.01,0.01,0.10,0.01,0.01,17.05,0.01,0.01,-0.42,0.01,0.01,17.04,0.01,0.01,-0.12,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,20096.7,
212-G-,7879.00,7879.05,0.01,0.01,-0.16,0.01,0.01,55.67,0.41,0.39,-0.08,0.06,0.06,-0.04,0.01,0.01,18.38,0.01,0.01,-0.02,0.01,0.01,19.96,0.01,0.01,-0.02,0.01,0.01,17.25,0.01,0.01,-0.11,0.01,0.01,--,--,--,--,--,--,17.21,0.01,0.01,-0.04,0.01,0.01,--,--,--,--,--,--,17.06,0.01,0.01,0.10,0.01,0.01,17.05,0.01,0.01,-0.41,0.01,0.01,17.04,0.01,0.01,-0.11,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,20104.11,
212-GSA0,--,7879.01,0.01,0.01,0.16,0.01,0.01,56.28,0.31,0.31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.44,0.01,0.01,-0.02,0.01,0.01,17.21,0.01,0.01,-0.03,0.01,0.01,--,--,--,--,--,--,17.06,0.01,0.01,0.11,0.01,0.01,17.05,0.01,0.01,-0.40,0.01,0.01,17.04,0.01,0.01,-0.10,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,20492.32,
212-GSA+,7879.00,7879.06,0.01,0.01,0.16,0.01,0.01,56.08,0.31,0.30,-0.09,0.05,0.05,-0.06,0.02,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.44,0.01,0.01,-0.04,0.01,0.01,17.21,0.01,0.01,-0.04,0.01,0.01,--,--,--,--,--,--,17.06,0.01,0.01,0.10,0.01,0.01,17.05,0.01,0.01,-0.42,0.01,0.01,17.04,0.01,0.01,-0.12,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,20064.57,
212-GSA-,7879.00,7879.05,0.01,0.01,-0.16,0.01,0.01,55.65,0.38,0.39,-0.08,0.06,0.06,-0.05,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.44,0.01,0.01,-0.04,0.01,0.01,17.21,0.01,0.01,-0.04,0.01,0.01,--,--,--,--,--,--,17.06,0.01,0.01,0.10,0.01,0.01,17.05,0.01,0.01,-0.41,0.01,0.01,17.04,0.01,0.01,-0.11,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,20064.08,
230-G0,--,7123.55,0.45,0.45,0.81,0.31,0.27,24.58,7.02,4.69,--,--,--,--,--,--,18.72,0.01,0.01,0.52,0.23,0.44,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.54,0.01,0.01,0.57,0.22,0.40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4085.32,
230-G1+,7123.00,7122.12,0.66,0.69,0.92,0.26,0.29,24.15,7.35,4.08,-1.38,0.79,0.46,1.22,0.43,0.41,18.72,0.01,0.01,0.39,0.30,0.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.54,0.01,0.01,0.44,0.27,0.40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4066.44,
230-G2+,7123.00,7122.31,0.51,0.54,0.97,0.24,0.29,20.39,4.94,2.75,0.82,0.73,0.61,1.22,0.40,0.39,18.72,0.01,0.01,0.29,0.34,0.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.54,0.01,0.01,0.37,0.30,0.38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4067.62,
230-G1-,7123.00,7122.33,0.51,0.52,-0.94,0.30,0.24,20.62,5.51,2.87,-0.92,0.63,0.72,1.21,0.42,0.43,18.72,0.01,0.01,0.34,0.33,0.41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.54,0.01,0.01,0.41,0.30,0.37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4067.24,
