#GaiaDR3-ULENS-,t_0_par,t_0,err_t_0_pl,err_t_0_mn,u_0,err_u_0_pl,err_u_0_mn,t_E,err_t_E_pl,err_t_E_mn,pi_EN,err_pi_EN_pl,err_pi_EN_mn,pi_EE,err_pi_EE_pl,err_pi_EE_mn,I_G0,err_I_G0_pl,err_I_G0_mn,fb_G,err_fb_G_pl,err_fb_G_mn,I_BP0,err_I_BP0_pl,err_I_BP0_mn,f_bBP,err_f_bBP_pl,err_f_bBP_mn,I_RP0,err_I_RP0_pl,err_I_RP0_mn,f_bRP,err_f_bRP_pl,err_f_bRP_mn,I_GSA,err_I_GSA_pl,err_I_GSA_mn,f_bGSA,err_f_bGSA_pl,err_f_bGSA_mn,I_V0,err_I_V0_pl,err_I_V0_mn,f_bV,err_f_bV_pl,err_f_bV_mn,I_OGLE0,err_I_OGLE0_pl,err_I_OGLE0_mn,f_bOGLE,err_f_bOGLE_pl,err_f_bOGLE_mn,I_KMTA,err_I_KMTA_pl,err_I_KMTA_mn,f_bKMTA,err_f_bKMTA_pl,err_f_bKMTA_mn,I_KMTC,err_I_KMTC_pl,err_I_KMTC_mn,f_bKMTC,err_f_bKMTC_pl,err_f_bKMTC_mn,I_KMTS,err_I_KMTS_pl,err_I_KMTS_mn,f_bKMTS,err_f_bKMTS_pl,err_f_bKMTS_mn,I_MOA,err_I_MOA_pl,err_I_MOA_mn,f_bMOA,err_f_bMOA_pl,err_f_bMOA_mn,MOA_V,err_I_MOA_V_pl ,err_I_MOA_V_mn  ,f_b_MOA_V,err_f_bMOA_V_pl ,err_f_bMOA_V_mn,chi2,comment
023-G-,7726.00,7851.50,0.41,0.37,-0.25,0.01,0.01,194.74,8.75,9.54,0.38,0.02,0.03,-0.04,0.01,0.01,17.87,0.01,0.01,0.79,0.01,0.01,16.79,0.01,0.01,0.80,0.01,0.01,16.76,0.01,0.01,0.84,0.01,0.01,--,--,--,--,--,--,16.86,0.01,0.01,0.81,0.01,0.01,16.77,0.01,0.01,0.76,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,585.64,
025-G0,--,7492.10,0.32,0.31,0.22,0.01,0.01,96.89,2.04,1.96,--,--,--,--,--,--,16.12,0.01,0.01,-0.13,0.02,0.03,17.77,0.01,0.01,-0.14,0.02,0.03,14.88,0.01,0.01,-0.11,0.02,0.03,--,--,--,--,--,--,16.79,0.01,0.01,-1.30,0.12,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,856.09,
025-G+,7491.00,7487.14,0.76,1.11,0.11,0.01,0.01,181.14,13.87,12.57,0.61,0.10,0.08,0.31,0.09,0.06,16.12,0.01,0.01,0.47,0.05,0.06,17.77,0.01,0.01,0.46,0.05,0.06,14.88,0.01,0.01,0.47,0.05,0.06,--,--,--,--,--,--,16.78,0.01,0.01,0.39,0.07,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,324.46,
025-G1-,7491.00,7488.67,0.40,0.44,-0.19,0.01,0.01,108.96,5.54,3.95,-0.75,0.09,0.09,0.17,0.04,0.04,16.12,0.01,0.01,0.02,0.06,0.04,17.78,0.01,0.01,0.01,0.06,0.04,14.88,0.01,0.01,0.03,0.06,0.04,--,--,--,--,--,--,16.78,0.01,0.01,-0.08,0.12,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,326.96,
025-G2-,7491.00,7487.48,0.67,0.68,-0.20,0.01,0.01,145.16,4.83,5.06,0.34,0.06,0.07,0.26,0.03,0.03,16.14,0.01,0.01,-0.03,0.03,0.03,17.79,0.01,0.01,-0.04,0.03,0.03,14.90,0.01,0.01,-0.02,0.03,0.03,--,--,--,--,--,--,16.78,0.01,0.01,0.01,0.08,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,338.48,
032-G0,--,7022.88,0.23,0.24,0.01,0.02,0.02,55.44,8.74,6.11,--,--,--,--,--,--,16.33,0.01,0.01,0.31,0.18,0.20,16.80,0.01,0.01,0.32,0.17,0.19,15.68,0.01,0.01,0.36,0.17,0.18,--,--,--,--,--,--,--,--,--,--,--,--,16.56,0.01,0.01,0.25,0.12,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1334.03,
032-G+,7022.00,7023.03,0.26,0.26,0.01,0.02,0.02,53.53,8.49,5.16,0.65,0.42,0.75,-0.09,0.56,0.55,16.33,0.01,0.01,0.17,0.19,0.14,16.80,0.01,0.01,0.17,0.19,0.14,15.68,0.01,0.01,0.22,0.18,0.14,--,--,--,--,--,--,--,--,--,--,--,--,16.56,0.01,0.01,0.21,0.13,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1327.49,
035-G0,--,7090.19,0.01,0.01,0.08,0.01,0.01,60.51,0.11,0.11,--,--,--,--,--,--,16.46,0.01,0.01,0.09,0.01,0.01,17.14,0.01,0.01,0.18,0.01,0.01,15.52,0.01,0.01,0.16,0.01,0.01,--,--,--,--,--,--,15.45,0.01,0.01,0.09,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.35,0.01,0.01,0.08,0.01,0.01,16.90,0.01,0.01,0.08,0.01,0.01,59268.75,
035-G+,7090.00,7090.11,0.01,0.01,0.09,0.01,0.01,55.83,0.21,0.21,-0.37,0.03,0.03,0.11,0.01,0.01,16.46,0.01,0.01,-0.01,0.01,0.01,17.14,0.01,0.01,0.08,0.01,0.01,15.51,0.01,0.01,0.06,0.01,0.01,--,--,--,--,--,--,15.45,0.01,0.01,-0.03,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.35,0.01,0.01,-0.04,0.01,0.01,16.90,0.01,0.01,-0.05,0.01,0.01,54770.04,
035-G-,7090.00,7090.10,0.01,0.01,-0.09,0.01,0.01,54.44,0.17,0.15,-0.37,0.03,0.02,0.11,0.01,0.01,16.46,0.01,0.01,-0.02,0.01,0.01,17.14,0.01,0.01,0.07,0.01,0.01,15.52,0.01,0.01,0.06,0.01,0.01,--,--,--,--,--,--,15.45,0.01,0.01,-0.02,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.35,0.01,0.01,-0.03,0.01,0.01,16.90,0.01,0.01,-0.04,0.01,0.01,54747.28,
