#GaiaDR3-ULENS,MF,ML,err_ML_pl,err_ML_mn,DL,err_DL_pl,err_DL_pl,lens_mag,err_lens_mag_pl,err_lens_mag_mn,blend_mag,err_blend_pl,err_blend_mn,theta_e,err_theta_e_pl,err_theta_e_mn,max_astro_disp,err_max_astro_disp_pl,err_max_astro_disp_mn,lens_prop_mot,err_lens_prop_mot_pl,err_lens_prop_mot_mn,transverse_vel,err_vt_pl,err_vt_mn,dark_lens_prob
035-G-,M2021,0.88,0.33,0.34,0.82,0.45,0.22,15.76,4.11,2.53,25.00,0.00,0.00,2.76,1.05,1.08,0.98,1.35,0.59,22.22,1.06,1.09,86.85,51.45,26.96,99.72
035-G-,M^-1,0.63,0.43,0.29,1.09,0.71,0.41,18.66,3.94,4.49,25.00,0.00,0.00,1.98,1.35,0.90,0.70,1.18,0.38,17.15,1.36,0.91,88.82,64.79,37.70,95.35
069-G+,K2001,1.30,0.72,0.49,6.78,1.20,0.89,19.69,2.74,2.37,19.49,0.12,0.11,0.64,0.34,0.23,0.23,0.35,0.14,5.92,0.38,0.29,190.46,46.07,34.18,47.10
069-G+,M2021,1.76,0.81,0.60,6.30,0.97,0.73,18.39,1.94,1.78,19.49,0.12,0.11,0.86,0.36,0.29,0.30,0.43,0.20,6.56,0.40,0.33,196.10,42.05,32.75,73.91
069-G+,M^-1,1.67,0.81,0.59,6.40,1.02,0.79,18.61,2.10,1.90,19.49,0.12,0.11,0.82,0.36,0.29,0.29,0.42,0.19,6.44,0.40,0.33,195.47,43.11,34.14,68.83
069-G-,K2001,0.81,0.42,0.30,6.62,1.00,0.84,22.23,2.95,2.59,20.10,0.18,0.16,0.53,0.26,0.19,0.19,0.28,0.12,5.45,0.31,0.25,171.09,35.64,29.76,22.43
069-G-,M2021,1.12,0.46,0.34,6.13,0.81,0.67,20.16,2.25,1.69,20.10,0.18,0.16,0.73,0.25,0.21,0.26,0.35,0.18,5.98,0.30,0.27,173.74,31.87,26.84,50.34
069-G-,M^-1,1.00,0.49,0.36,6.30,0.92,0.75,20.76,3.06,2.06,20.10,0.18,0.16,0.66,0.28,0.23,0.23,0.33,0.15,5.78,0.32,0.28,172.82,34.80,29.03,40.04
073-G+,K2001,7.05,4.82,3.01,6.15,0.90,0.63,14.23,0.75,0.30,19.90,5.10,1.01,1.57,0.64,0.58,0.55,0.78,0.35,12.08,0.65,0.59,352.39,70.45,53.38,99.56
073-G+,M2021,10.49,5.98,4.19,6.08,1.67,0.65,14.13,0.63,0.26,19.90,5.10,1.01,1.93,0.66,0.54,0.68,0.92,0.49,13.31,0.67,0.56,383.62,124.56,56.84,99.98
073-G+,M^-1,10.44,6.91,4.33,6.13,2.17,0.68,14.16,0.64,0.27,19.89,5.11,1.01,1.94,0.57,0.58,0.69,0.89,0.48,13.29,0.58,0.59,386.33,153.84,59.81,99.97
073-G-,K2001,6.10,1.98,1.71,5.06,1.21,0.93,13.81,0.68,0.51,25.00,0.00,4.47,2.02,0.43,0.60,0.72,0.87,0.50,11.71,0.46,0.61,281.04,78.24,66.05,99.99
073-G-,M2021,6.98,2.82,1.71,5.06,1.06,0.91,13.76,0.43,0.47,25.00,0.00,4.48,2.17,0.44,0.46,0.77,0.93,0.61,12.18,0.46,0.48,292.29,72.42,64.09,100.00
073-G-,M^-1,6.85,2.67,1.67,5.06,1.08,0.91,13.76,0.45,0.48,25.00,0.00,4.48,2.16,0.44,0.46,0.76,0.92,0.60,12.12,0.46,0.48,290.64,72.93,64.04,100.00
088-G-,K2001,2.41,1.52,0.99,6.27,1.08,0.92,17.15,2.40,1.56,18.95,0.12,0.10,1.04,0.58,0.39,0.37,0.57,0.23,8.78,0.60,0.40,260.97,62.62,50.10,77.00
088-G-,M2021,3.45,1.91,1.35,5.93,0.93,0.98,16.05,1.60,1.07,18.95,0.12,0.10,1.38,0.62,0.48,0.49,0.71,0.32,9.44,0.63,0.50,265.47,59.13,57.69,92.77
088-G-,M^-1,3.32,1.90,1.31,5.98,0.94,0.95,16.17,1.68,1.16,18.95,0.12,0.10,1.35,0.61,0.49,0.48,0.69,0.30,9.36,0.62,0.51,265.36,59.14,56.58,91.21
089_G+,K2001,0.34,0.25,0.16,5.71,0.73,0.74,26.74,1.82,2.40,20.32,1.11,0.56,0.42,0.24,0.15,0.15,0.23,0.09,10.08,0.27,0.21,272.56,42.09,40.80,18.04
089_G+,M2021,1.6,51.06,1.14,1.08,4.35,0.39,14.19,10.89,3.19,20.32,1.10,0.56,2.87,2.19,2.31,1.02,1.79,0.20,19.06,2.19,2.31,97.97,404.47,46.76,80.87
089_G+,M^-1,0.50,1.68,0.25,5.30,0.88,4.46,25.19,2.47,13.03,20.32,1.10,0.56,0.56,3.48,0.24,0.20,1.43,0.11,10.90,3.48,0.28,273.85,132.92,237.13,44.08
089_G-,K2001,0.61,0.24,0.17,2.17,0.56,0.53,21.93,1.90,2.59,20.17,1.09,0.55,1.27,0.43,0.29,0.45,0.60,0.35,13.53,0.45,0.33,139.30,40.63,37.23,33.32
089_G-,M2021,0.82,0.29,0.23,1.99,0.59,0.59,19.83,2.49,2.53,20.17,1.10,0.55,1.55,0.59,0.37,0.55,0.76,0.42,15.03,0.61,0.40,141.68,47.47,45.60,66.45
089_G-,M^-1,0.70,0.29,0.21,2.08,0.58,0.56,20.92,2.35,2.72,20.17,1.10,0.54,1.40,0.53,0.34,0.49,0.68,0.37,14.19,0.54,0.37,139.89,44.27,41.54,48.72
097-G+,K2001,0.61,0.60,0.25,3.35,1.05,0.88,22.97,2.51,3.88,18.81,3.86,0.80,0.95,0.39,0.28,0.34,0.47,0.24,0.81,0.41,0.31,12.89,10.57,8.32,16.78
097-G+,M2021,1.50,2.57,0.70,3.87,2.04,1.17,18.31,3.13,2.29,18.81,3.86,0.80,1.32,0.53,0.36,0.47,0.65,0.34,0.39,0.54,0.38,7.13,13.69,9.19,48.51
097-G+,M^-1,1.17,2.01,0.65,3.68,1.86,1.06,19.30,4.56,3.16,18.81,3.86,0.80,1.21,0.52,0.39,0.43,0.61,0.29,0.43,0.53,0.41,7.55,13.10,9.39,39.77
097-G-,K2001,0.69,1.16,0.39,4.75,2.09,1.73,22.69,4.24,4.72,18.77,3.10,0.74,0.83,0.45,0.45,0.29,0.45,0.13,3.15,0.47,0.47,70.94,41.85,36.50,19.76
