#GaiaDR3-ULENS-,ra,dec,theta_star,err_theta_star,theta_star_flag,source_mag_err,t0par,extinction_c0,extinction_c1,extinction_c2,extinction_c3,extinction_c4,ds_median,ds_err_neg,ds_err_pos,source_mag_err,source_star,mu_ra,mu_ra_sig,mu_dec,mu_dec_sig,mu_ra_dec_corr,source_id,RUWE
142-G2-,263.5395,-24.8825,3.14,5.17,true,0.01,7289,0.6804,0.003349,-1.073E-6,1.406E-10,-6.451E-15,8,7.0,4,0.01,dwarf,-4.14510203395723,0.10755241,-4.52981424566545,0.0680826,0.24858552,4.1102631895120799E18,1.092
155-G+,270.3789,-32.6859,2.76,0.55,true,0.04,7437,0.1515,9.322E-4,-2.079E-7,1.963E-11,-6.589E-16,8,7.0,4,0.03,giant,-0.687107583391038,0.15813294,-7.96513681119542,0.11010545,0.35310927,4.0429228826406702E18,1.02
155-G1-,270.3789,-32.6859,2.89,0.54,true,0.04,7437,0.1515,9.322E-4,-2.079E-7,1.963E-11,-6.589E-16,8,7.0,4,0.03,giant,-0.687107583391038,0.15813294,-7.96513681119542,0.11010545,0.35310927,4.0429228826406702E18,1.02
155-G2-,270.3789,-32.6859,2.46,0.49,true,0.03,7437,0.1515,9.322E-4,-2.079E-7,1.963E-11,-6.589E-16,8,7.0,4,0.03,giant,-0.687107583391038,0.15813294,-7.96513681119542,0.11010545,0.35310927,4.0429228826406702E18,1.02
212-GSA+,265.6345,-34.1037,2.31,0.39,true,0.01,7879,0.4643,0.001772,-4.659E-7,5.003E-11,-1.908E-15,8,7.0,4,0.01,dwarf,-1.91116480231155,0.17424215,-4.99261865597295,0.09453233,0.22394332,4.0534327706940001E18,1.068
212-GSA-,265.6345,-34.1037,2.31,0.39,true,0.01,7879,0.4643,0.001772,-4.659E-7,5.003E-11,-1.908E-15,8,7.0,4,0.01,dwarf,-1.91116480231155,0.17424215,-4.99261865597295,0.09453233,0.22394332,4.0534327706940001E18,1.068
259-GSA+,116.0932117,-28.4434223,--,--,--,0.01,7879,0.287,0.001178,-2.869E-7,2.978E-11,-1.079E-15,4,3.9,6,--,--,-1.53880008750693,0.20141695,2.72204933934375,0.23128672,0.16598827,5.5999133943013499E18,2
259-GSA-,116.0932117,-28.4434223,--,--,--,0.01,7879,0.287,0.001178,-2.869E-7,2.978E-11,-1.079E-15,4,3.9,6,--,--,-1.53880008750693,0.20141695,2.72204933934375,0.23128672,0.16598827,5.5999133943013499E18,2
270-G+,264.4791,-28.5589,2.62,4.43,true,0.01,7511,0.2585,0.002958,-7.961E-7,9.567E-11,-4.304E-15,8,7.0,4,0.01,dwarf,-3.17511795184052,0.44250768,-1.22059493506539,0.30692306,0.29539275,4.06023173396623E18,1.034
270-G-,264.4791,-28.5589,2.62,4.45,true,0.01,7511,0.2585,0.002958,-7.961E-7,9.567E-11,-4.304E-15,8,7.0,4,0.01,dwarf,-3.17511795184052,0.44250768,-1.22059493506539,0.30692306,0.29539275,4.06023173396623E18,1.034
331-G+,264.923,-27.6781,1.12,1.89,true,0.01,7679,0.3715,0.002525,-7.724E-7,1.058E-10,-5.144E-15,8,7.0,4,0.01,dwarf,-3.98592545300844,0.82001793,-3.63553452702867,0.47691047,0.42196926,4.0608587691260401E18,1.08
331-G-,264.923,-27.6781,1.12,1.89,true,0.01,7679,0.3715,0.002525,-7.724E-7,1.058E-10,-5.144E-15,8,7.0,4,0.01,dwarf,-3.98592545300844,0.82001793,-3.63553452702867,0.47691047,0.42196926,4.0608587691260401E18,1.08
343-G+,267.8664,-33.1352,0.87,0.14,true,0.01,7890,0.1897,0.001823,-5.09E-7,5.745E-11,-2.248E-15,8,7.0,4,0.01,dwarf,--,--,--,--,--,4.0434086262335099E18,--
343-G-,267.8664,-33.1352,0.87,0.14,true,0.01,7890,0.1897,0.001823,-5.09E-7,5.745E-11,-2.248E-15,8,7.0,4,0.01,dwarf,--,--,--,--,--,4.0434086262335099E18,--
353-G+,267.6884,-34.2448,0.54,0.09,true,0.01,7844,0.2006,0.001264,-3.113E-7,3.081E-11,-1.056E-15,8,7.0,4,0.16,dwarf,--,--,--,--,--,4.0416427075036298E18,--
353-G-,267.6884,-34.2448,0.54,0.09,true,0.01,7844,0.2006,0.001264,-3.113E-7,3.081E-11,-1.056E-15,8,7.0,4,0.16,dwarf,--,--,--,--,--,4.0416427075036298E18,--
363-G+,266.9194,-25.0204,1.09,1.93,false,0.02,7797,0.1953,0.002324,-6.58E-7,8.373E-11,-3.802E-15,8,7.0,4,0.02,dwarf,--,--,--,--,--,4.0673002236607898E18,--
363-G-,266.9194,-25.0204,1.09,1.94,false,0.02,7797,0.1953,0.002324,-6.58E-7,8.373E-11,-3.802E-15,8,7.0,4,0.02,dwarf,--,--,--,--,--,4.0673002236607898E18,--
