#sourceid, RA, Dec, l, b, amplP2P, t0PSPL, u0PSPL, tEPSPL, G0PSPL, fsPSPL, chidofPSPL, t0Par, u0Par, tEPar, piENPar, piEEPar, G0Par, fsPar,  chidofPar,t0PSPL_0, u0PSPL_0, tEPSPL_0, chi2PSPL_0, chidofPSPL_0,t0PSPL_1, u0PSPL_1, tEPSPL_1, chi2PSPL_1, chidofPSPL_1,t0PSPL_2, u0PSPL_2, tEPSPL_2, chi2PSPL_2, chidofPSPL_2,t0PSPL_3, u0PSPL_3, tEPSPL_3, chi2PSPL_3, chidofPSPL_3,t0Par_0, u0Par_0, tEPar_0, piENpar_0, piEEPar_0, chi2Par_0, chidofPar_0,t0Par_1, u0Par_1, tEPar_1, piENpar_1, piEEPar_1, chi2Par_1, chidofPar_1,t0Par_2, u0Par_2, tEPar_2, piENpar_2, piEEPar_2, chi2Par_2, chidofPar_2,t0Par_3, u0Par_3, tEPar_3, piENpar_3, piEEPar_3, chi2Par_3, chidofPar_3
4159994512750671232, 275.928939, -7.302089, 23.266661, 2.783630,0.453961,2457421.088324, 0.567017, 52.080394, 16.011510, 0.996566, 0.109316,2457398.725218, 0.650626, 102.107298, -0.718753, -0.707266, 16.014629, 0.983275, 0.171799,2457421.09, 0.567, 52.08, 5.79, 0.11,2457436.59, -0.813, 50.22, 18.07, 0.34,2459418.55, -0.741, 6.02, 434.84, 8.20,2459133.82, 1.229, 8.21, 434.84, 8.20,2457398.73, 0.651, 102.11, -0.719, -0.707, 8.76, 0.17,2457225.14, -0.382, 317.13, 0.926, -0.945, 17.55, 0.34,2457857.60, -0.738, 904.47, 0.958, 0.947, 44.50, 0.87,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00
4067907184112930944, 265.703376, -25.517025, 2.588153, 2.320506,2.954181,2457074.427932, 0.044176, 88.242416, 16.034787, 1.000080, 0.954585,2457074.011330, -0.035349, 85.279678, 0.081425, 0.131984, 16.035039, 1.001812, 0.873329,2457074.39, -0.044, 88.39, 108.59, 0.92,2457074.43, 0.044, 88.24, 112.64, 0.95,0.00, 0.000, 0.00, 0.00, 0.00,0.00, 0.000, 0.00, 0.00, 0.00,2457074.01, -0.035, 85.28, 0.081, 0.132, 101.31, 0.87,2457076.25, 0.063, 93.73, 0.758, -0.289, 200.57, 1.73,2457082.38, 0.053, 79.11, -0.702, -0.221, 210.98, 1.82,2457049.90, 0.040, 532.94, -0.986, -0.986, 998.35, 8.61
4041238259061973504, 264.674392, -35.506717, 353.643591, -2.219593,1.492920,2457490.521199, 0.264411, 58.798825, 16.064806, 0.982056, 5.313497,2457311.824675, 0.281349, 997.728043, -0.999980, -0.999981, 16.102392, 1.164841, 99.670098,2457490.52, -0.264, 58.80, 3320.93, 5.31,2457490.52, 0.264, 58.80, 3320.94, 5.31,0.00, 0.000, 0.00, 0.00, 0.00,0.00, 0.000, 0.00, 0.00, 0.00,2457311.82, 0.281, 997.73, -1.000, -1.000, 62094.47, 99.67,2457318.74, -0.231, 691.62, 1.000, -0.994, 63862.86, 102.51,2457320.17, -0.229, 697.92, 0.996, -0.994, 63977.81, 102.69,2457320.46, -0.228, 696.98, 0.994, -0.994, 64161.52, 102.99
5956630082001769984, 269.533787, -42.597457, 349.432027, -9.069240,0.457675,2456987.485302, -1.054669, 97.967591, 16.081988, 1.305002, 2.335490,2457191.839341, -0.416162, 245.539036, -0.089273, -0.671007, 16.088098, 1.221452, 2.332923,2456987.49, -1.055, 97.97, 200.85, 2.34,2456980.05, 1.137, 111.19, 203.46, 2.37,0.00, 0.000, 0.00, 0.00, 0.00,0.00, 0.000, 0.00, 0.00, 0.00,2457191.84, -0.416, 245.54, -0.089, -0.671, 195.97, 2.33,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00
6059816980526317568, 191.583955, -58.894123, 302.271417, 3.971082,3.161099,2457724.376823, -0.050900, 132.340824, 15.994396, 0.780658, 23.067005,2457723.780943, -0.081481, 131.071030, 0.124911, 0.130358, 15.987740, 0.962350, 24.513814,2457724.38, -0.051, 132.34, 40136.59, 23.07,2457724.35, -0.050, 132.25, 40139.01, 23.07,2457724.16, 0.057, 139.06, 40292.91, 23.16,2457724.17, 0.057, 139.79, 40302.88, 23.16,2457723.83, -0.081, 131.15, 0.125, 0.130, 42604.37, 24.51,2457723.78, -0.081, 131.07, 0.125, 0.130, 42605.01, 24.51,2457722.99, -0.083, 127.21, 0.126, 0.130, 42881.72, 24.67,2457724.07, -0.086, 130.76, 0.119, 0.118, 42927.08, 24.70
5951752068649725312, 262.402422, -46.234765, 343.650631, -6.554240,1.878418,2457843.226759, 0.001714, 72.300747, 16.120562, 0.765861, 7.950331,2457844.684523, -0.016809, 78.196673, -0.163521, 0.083624, 16.125197, 0.815332, 4.438291,2457843.23, 0.002, 72.30, 731.43, 7.95,0.00, 0.000, 0.00, 0.00, 0.00,0.00, 0.000, 0.00, 0.00, 0.00,0.00, 0.000, 0.00, 0.00, 0.00,2457844.68, -0.017, 78.20, -0.164, 0.084, 399.45, 4.44,2457697.25, -0.170, 956.40, 0.987, -0.992, 1187.70, 13.20,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00
4108020361965432064, 260.878064, -27.378773, 358.673253, 4.940376,1.769007,2457494.242902, 0.200091, 138.521983, 16.171424, 0.991023, 3.723143,2457487.550570, -0.202255, 109.184141, -0.570713, 0.235786, 16.122637, 1.000985, 0.994714,2457494.24, 0.200, 138.52, 688.78, 3.72,2457494.23, -0.200, 138.57, 688.79, 3.72,0.00, 0.000, 0.00, 0.00, 0.00,0.00, 0.000, 0.00, 0.00, 0.00,2457487.55, -0.202, 109.18, -0.571, 0.236, 182.03, 0.99,2457488.61, -0.198, 140.10, 0.283, 0.240, 191.00, 1.04,2457488.50, 0.200, 121.95, 0.022, 0.222, 196.58, 1.07,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00
4050909181279109888, 273.154678, -27.887027, 3.867224, -4.627225,0.239769,2457021.829545, -0.798061, 67.759593, 16.325496, 0.878494, 15.558648,2457018.874502, -0.900503, 79.661182, 0.279479, -0.178889, 16.325934, 0.892013, 15.596819,2457021.83, -0.798, 67.76, 155337.54, 15.56,2454198.32, 0.001, 10.10, 175414.92, 17.57,2459706.98, 0.301, 34.38, 175490.38, 17.58,0.00, 0.000, 0.00, 0.00, 0.00,2457018.87, -0.901, 79.66, 0.279, -0.179, 155687.44, 15.60,2457019.23, -0.915, 79.74, 0.263, -0.182, 155687.59, 15.60,2457037.02, -1.248, 84.23, -0.080, -0.444, 156208.94, 15.65,2457043.84, 1.249, 92.46, -0.119, -0.467, 156331.38, 15.66
3292310414861319936, 71.494050, 8.245710, 189.712419, -23.144321,0.276976,2457020.435573, -0.227944, 58.392150, 16.333913, 0.702155, 3.197266,2457025.736896, -0.258090, 43.247819, 0.814037, -0.008877, 16.332707, 1.099013, 2.576184,2457020.44, -0.228, 58.39, 4130.87, 3.20,2457022.08, -0.238, 59.19, 4161.03, 3.22,2457022.57, -0.254, 56.85, 4216.74, 3.26,2457022.83, -0.223, 68.08, 4379.42, 3.39,2457025.74, -0.258, 43.25, 0.814, -0.009, 3323.28, 2.58,2456997.20, 0.349, 88.63, -0.752, -0.665, 3845.41, 2.98,2456714.25, -0.335, 516.75, 0.920, -0.968, 6803.26, 5.27,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00
4040806872563108736, 267.970510, -34.974907, 355.499348, -4.243609,1.853212,2457074.167192, 0.329397, 136.550724, 16.518871, 1.245628, 4039.457752,2457094.942067, -0.001394, 165.356196, 0.999869, 0.063445, 16.456558, 0.366890, 2522.038970,2457074.17, 0.329, 136.55, 26910867.54, 4039.46,2457074.36, 0.330, 136.49, 26911213.74, 4039.51,2457074.67, 0.330, 136.52, 26912325.94, 4039.68,2457074.66, 0.330, 136.51, 26912326.67, 4039.68,2457094.94, -0.001, 165.36, 1.000, 0.063, 16796779.54, 2522.04,2457090.51, 0.049, 138.12, 1.000, 0.050, 16805507.53, 2523.35,2457094.77, -0.018, 221.75, -1.000, 1.000, 17325518.59, 2601.43,2457108.48, -0.003, 297.38, -0.991, -0.968, 18008984.47, 2704.05
