#GaiaDR3-ULENS-,t_0,err_t_0_pl,err_t_0_mn,u_0,err_u_0_pl,err_u_0_mn,t_E,err_t_E_pl,err_t_E_mn,pi_EN,err_pi_EN_pl,err_pi_EN_mn,pi_EE,err_pi_EE_pl,err_pi_EE_mn,I_G0,err_I_G0_pl,err_I_G0_mn,fb_G,err_fb_G_pl,err_fb_G_mn,I_BP0,err_I_BP0_pl,err_I_BP0_mn,f_bBP,err_f_bBP_pl,err_f_bBP_mn,I_RP0,err_I_RP0_pl,err_I_RP0_mn,f_bRP,err_f_bRP_pl,err_f_bRP_mn,I_GSA,err_I_GSA_pl,err_I_GSA_mn,f_bGSA,err_f_bGSA_pl,err_f_bGSA_mn,I_V0,err_I_V0_pl,err_I_V0_mn,f_bV,err_f_bV_pl,err_f_bV_mn,I_I0,err_I_I0_pl,err_I_I0_mn,f_bI,err_f_bI_pl,err_f_bI_mn,I_MOA,err_I_MOA_pl,err_I_MOA_mn,f_bMOA,err_f_bMOA_pl,err_f_bMOA_mn,I_KMTA,err_I_KMTA_pl,err_I_KMTA_mn,f_bKMTA,err_f_bKMTA_pl,err_f_bKMTA_mn,I_KMTC,err_I_KMTC_pl,err_I_KMTC_mn,f_bKMTC,err_f_bKMTC_pl,err_f_bKMTC_mn,I_KMTS,err_I_KMTS_pl,err_I_KMTS_mn,f_bKMTS,err_f_bKMTS_pl,err_f_bKMTS_mn,chi2  
089-G-1,7645.2077,0.0155,-0.0158,0.2546,0.01,-0.0103,77.4033,2.0852,-1.8452,-0.455,0.0311,-0.0286,-0.0866,0.0035,-0.0036,17.3751,0.0002,-0.0002,0.2407,0.0372,-0.0369,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.1573,0.0001,-0.0001,0.2329,0.0388,-0.0385,--,--,--,--,--,--,16.5322,0.0007,-0.0007,0,0,0,16.5611,0.0009,-0.0009,0,0,0,16.531,0.001,-0.001,0,0,0,6690.8
089-G-2,7645.3162,0.0234,-0.0243,-0.3154,0.0056,-0.003,77.0745,2.2495,-1.4998,-0.2535,0.0488,-0.0483,-0.1336,0.0025,-0.0026,17.3774,0.0002,-0.0002,0.0184,0.0246,-0.0137,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.1577,0.0001,-0.0001,-0.0117,0.0239,-0.013,--,--,--,--,--,--,16.5399,0.0007,-0.0006,0,0,0,16.5705,0.0009,-0.0008,0,0,0,16.5413,0.001,-0.0009,0,0,0,6620.7
097-G0,7782.7113,1.2704,-1.2189,0.2847,0.0415,-0.0357,111.509,8.5675,-8.0308,--,--,--,--,--,--,17.4306,0.0013,-0.0013,0.8402,0.0258,-0.0325,--,--,--,--,--,--,16.1195,0.0012,-0.0012,0.8537,0.0236,-0.0297,--,--,--,--,--,--,--,--,--,--,--,--,16.0791,0.0002,-0.0002,0.856,0.0218,-0.0269,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,643.8
097-G+,7769.7539,2.1143,-1.8806,0.6926,0.0947,-0.1459,54.4415,8.3234,-4.3866,0.2165,0.0538,-0.0538,0.2572,0.1045,-0.1007,17.4278,0.0014,-0.0015,0.2809,0.2408,-0.1923,--,--,--,--,--,--,16.1166,0.0013,-0.0014,0.3426,0.2201,-0.1757,--,--,--,--,--,--,--,--,--,--,--,--,16.079,0.0002,-0.0002,0.2644,0.2447,-0.1964,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,637
103-G0,7788.9668,0.3,-0.3023,0.0489,0.0084,-0.0093,65.4563,2.769,-2.5801,--,--,--,--,--,--,17.5571,0.0014,-0.0014,0.047,0.0733,-0.0766,18.6977,0.0019,-0.0019,0.0092,0.077,-0.0805,16.5254,0.0015,-0.0015,0.0348,0.0748,-0.0782,--,--,--,--,--,--,--,--,--,--,--,--,16.4105,0.0002,-0.0002,-0.0018,0.061,-0.0647,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,145.8
103-G+,7789.01,0.3018,-0.2929,0.0574,0.013,-0.0137,58.0311,6.7461,-5.5503,0.1311,0.1038,-0.0821,-0.0262,0.2882,-0.3168,17.5544,0.003,-0.0028,-0.1159,0.1678,-0.1746,18.6955,0.0033,-0.0029,-0.1601,0.1749,-0.1819,16.5231,0.003,-0.0027,-0.1302,0.1703,-0.1772,--,--,--,--,--,--,--,--,--,--,--,--,16.4106,0.0004,-0.0003,-0.1425,0.1512,-0.159,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,176.4
103-G-,7789.0059,0.2864,-0.2926,-0.0567,0.0132,-0.0126,57.9586,7.5142,-5.949,0.1337,0.1078,-0.0832,-0.016,0.3075,-0.3606,17.5543,0.0029,-0.0027,-0.1098,0.1645,-0.1709,18.6955,0.0032,-0.0028,-0.1537,0.1714,-0.1779,16.523,0.0029,-0.0026,-0.124,0.1669,-0.1732,--,--,--,--,--,--,--,--,--,--,--,--,16.4105,0.0004,-0.0003,-0.1375,0.151,-0.1608,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,177.5
118-G0,7668.8792,0.18,-0.1745,0.0408,0.0055,-0.0049,79.8866,3.2815,-3.1883,--,--,--,--,--,--,17.7272,0.0016,-0.0015,0.1997,0.0385,-0.0417,--,--,--,--,--,--,17.0147,0.0013,-0.0012,0.081,0.0508,-0.0561,--,--,--,--,--,--,17.3045,0.1631,-0.133,0,0,0,16.8981,0.0006,-0.0006,0.04,0.0611,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,232
118-G+,7668.3006,0.1967,-0.1956,0.0416,0.0069,-0.0082,76.2002,14.9675,-7.1312,0.7473,0.0567,-0.0601,0.6073,0.1134,-0.1234,17.7231,0.0021,-0.0014,0.1568,0.1636,-0.1101,--,--,--,--,--,--,17.0044,0.0016,-0.0009,0.221,0.1565,-0.1075,--,--,--,--,--,--,17.4841,0.2026,-0.1659,0,0,0,16.8947,0.0005,-0.0005,0.2193,0.1557,-0.109,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,177.8
118-G-,7668.0816,0.2247,-0.2235,-0.0408,0.0086,-0.0081,84.3963,20.4465,-10.7812,0.7508,0.0527,-0.0603,0.6523,0.1312,-0.136,17.7237,0.0027,-0.0017,0.2106,0.1744,-0.1422,--,--,--,--,--,--,17.0054,0.002,-0.0012,0.2645,0.1688,-0.1396,--,--,--,--,--,--,17.5596,0.243,-0.1866,0,0,0,16.8948,0.0006,-0.0005,0.2601,0.1686,-0.1402,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,177.3
127-G0,7851.1692,0.0829,-0.0848,0.3277,0.0097,-0.0096,106.7125,2.3936,-2.3527,--,--,--,--,--,--,17.8779,0.0001,-0.0001,0.6939,0.0116,-0.012,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.7566,0.0001,-0.0001,0.7165,0.011,-0.0114,--,--,--,--,--,--,16.7552,0.0009,-0.0009,0.775,0.0081,-0.0084,16.8561,0.001,-0.001,0.7302,0.0098,-0.0101,16.7662,0.0013,-0.0013,0.6636,0.0121,-0.0124,10516.4
127-G+,7851.173,0.1331,-0.1354,0.3358,0.0211,-0.0232,106.9225,3.8071,-3.6139,-0.0339,0.0572,-0.0494,-0.002,0.0072,-0.0067,17.878,0.0003,-0.0003,0.684,0.0284,-0.0268,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.7567,0.0001,-0.0001,0.7072,0.0268,-0.0253,--,--,--,--,--,--,16.7555,0.001,-0.0009,0.7673,0.0213,-0.0199,16.8564,0.0011,-0.0011,0.7209,0.0255,-0.0239,16.7665,0.0014,-0.0014,0.6521,0.0318,-0.0298,10516.6
127-G-,7851.1952,0.1233,-0.1284,-0.326,0.0203,-0.0175,108.5698,3.6605,-3.5448,0.0182,0.0607,-0.0791,-0.0029,0.007,-0.0069,17.878,0.0003,-0.0003,0.6962,0.0243,-0.0217,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.7567,0.0001,-0.0001,0.7186,0.023,-0.0206,--,--,--,--,--,--,16.7554,0.0009,-0.0009,0.7765,0.0182,-0.0161,16.8564,0.0011,-0.0011,0.7319,0.0218,-0.0192,16.7664,0.0014,-0.0014,0.6658,0.0271,-0.0239,10517.2
142-G0,7289.9378,0.3796,-0.3665,0.5773,0.0025,-0.0049,112.6503,0.6718,-0.5704,--,--,--,--,--,--,18.0276,0.0004,-0.0004,0.0084,0.013,-0.0063,--,--,--,--,--,--,16.6471,0.0004,-0.0004,0.0173,0.0129,-0.0062,--,--,--,--,--,--,--,--,--,--,--,--,16.7396,0.0002,-0.0002,-0.0844,0.0147,-0.0089,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1099.6
142-G+1,7285.2934,0.5523,-0.565,0.2636,0.025,-0.0209,181.2804,11.8317,-11.8907,-0.1884,0.013,-0.0112,-0.0502,0.0037,-0.0039,18.035,0.0015,-0.0015,0.6644,0.0335,-0.0419,--,--,--,--,--,--,16.6541,0.0014,-0.0014,0.668,0.0332,-0.0415,--,--,--,--,--,--,--,--,--,--,--,--,16.74,0.0004,-0.0004,0.6602,0.034,-0.0428,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,702
142-G+2,7281.3909,1.0589,-1.1303,0.5374,0.0151,-0.0289,124.243,3.4417,-3.2418,0.0246,0.0372,-0.0407,-0.0755,0.0038,-0.0038,18.0329,0.0019,-0.0017,0.0583,0.0821,-0.0433,--,--,--,--,--,--,16.6522,0.0018,-0.0016,0.068,0.0811,-0.0429,--,--,--,--,--,--,--,--,--,--,--,--,16.7394,0.0004,-0.0003,0.0563,0.0799,-0.0434,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,719.3
142-G-1,7280.7573,1.2401,-1.36,-0.5416,0.0238,-0.0109,126.6195,5.3782,-4.1332,-0.0446,0.0478,-0.0437,-0.0827,0.0067,-0.0062,18.0341,0.0025,-0.0021,0.0421,0.0684,-0.0317,--,--,--,--,--,--,16.6533,0.0023,-0.002,0.052,0.0675,-0.0313,--,--,--,--,--,--,--,--,--,--,--,--,16.7396,0.0004,-0.0004,0.0424,0.0672,-0.031,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,703.6
142-G-2,7285.3569,0.5311,-0.588,-0.2812,0.0227,-0.0287,169.2372,11.0974,-11.1103,0.2079,0.0122,-0.0159,-0.0319,0.0049,-0.0059,18.035,0.0017,-0.0015,0.6347,0.0379,-0.0501,--,--,--,--,--,--,16.6541,0.0016,-0.0014,0.6386,0.0376,-0.0497,--,--,--,--,--,--,--,--,--,--,--,--,16.7399,0.0004,-0.0004,0.6303,0.0384,-0.0507,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,716.2
143-G0,7048.6914,2.783,-2.4995,0.0716,0.0817,-0.0513,67.1465,2.5925,-2.4369,--,--,--,--,--,--,18.0298,0.0007,-0.0008,0.0618,0.0903,-0.0462,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.0599,0.0025,-0.0025,0.1909,0.0804,-0.0465,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,131
143-G+,7051.5322,12.3582,-9.1625,0.1714,0.1256,-0.101,111.9436,55.5332,-25.6399,0.2842,0.2698,-0.4074,-0.2107,0.1508,-0.0999,18.0315,0.0005,-0.0005,0.5132,0.2413,-0.3255,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.0595,0.0033,-0.003,0.5411,0.2305,-0.3144,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,107.7
143-G+2,7061.2965,8.369,-7.2172,0.22,0.1174,-0.1195,66.6507,12.5432,-6.6515,0.2762,0.1684,-0.2857,-0.3528,0.088,-0.1097,18.0314,0.0004,-0.0006,0.3516,0.2693,-0.2418,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.0598,0.003,-0.0029,0.3903,0.258,-0.2342,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,107.9
155-G0,7437.6028,0.0396,-0.0398,0.0982,0.0009,-0.0009,66.2335,0.3498,-0.3489,--,--,--,--,--,--,18.127,0.0001,-0.0001,0.2116,0.007,-0.007,--,--,--,--,--,--,17.1839,0.0001,-0.0001,0.1537,0.0073,-0.0074,--,--,--,--,--,--,--,--,--,--,--,--,17.006,0.0001,-0.0001,0.2281,0.0071,-0.0072,15.1005,0.0034,-0.0034,0,0,0,16.9173,0.0003,-0.0003,0.2266,0.0067,-0.0068,16.9363,0.0004,-0.0004,0.0248,0.0084,-0.0086,16.9393,0.0005,-0.0005,0.043,0.0082,-0.0083,13511.8
155-G+,7437.5691,0.046,-0.0459,0.1016,0.0031,-0.0029,63.1734,1.6772,-1.7337,0.1894,0.0388,-0.0412,0.0311,0.0215,-0.019,18.1258,0.0003,-0.0003,0.1774,0.0262,-0.0285,--,--,--,--,--,--,17.1826,0.0004,-0.0004,0.1172,0.028,-0.0306,--,--,--,--,--,--,--,--,--,--,--,--,17.0057,0.0001,-0.0001,0.1963,0.0254,-0.0278,15.0846,0.005,-0.005,0,0,0,16.9153,0.0007,-0.0006,0.1968,0.0254,-0.0278,16.934,0.0008,-0.0008,-0.0128,0.032,-0.035,16.9369,0.0009,-0.0009,0.0062,0.0315,-0.0345,13495.8
155-G-,7437.5888,0.0468,-0.0473,-0.1023,0.0029,-0.0032,64.1039,1.6203,-1.7058,0.2207,0.0425,-0.0456,0.0442,0.0254,-0.0219,18.1259,0.0003,-0.0004,0.1741,0.0265,-0.0297,--,--,--,--,--,--,17.1825,0.0004,-0.0004,0.1139,0.0283,-0.0318,--,--,--,--,--,--,--,--,--,--,--,--,17.0058,0.0001,-0.0001,0.1899,0.0262,-0.0293,15.0864,0.0048,-0.0048,0,0,0,16.9155,0.0006,-0.0006,0.1902,0.0261,-0.0293,16.9341,0.0008,-0.0007,-0.0212,0.0329,-0.0369,16.9371,0.0008,-0.0008,-0.002,0.0323,-0.0363,13496.5
196-G0,7356.1938,1.095,-1.1966,0.3179,0.1175,-0.1822,64.7145,5.1328,-3.9104,--,--,--,--,--,--,18.4826,0.002,-0.0018,0.2263,0.1684,-0.1585,--,--,--,--,--,--,17.0134,0.001,-0.0009,1.1226,0.024,-0.0257,--,--,--,--,--,--,--,--,--,--,--,--,16.9249,0.0002,-0.0002,0.221,0.1541,-0.1412,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,643.7
196-G+,7358.7375,5.2893,-9.3277,0.2,0.2302,-0.1326,114.6186,58.9557,-33.1028,-0.1229,0.2457,-0.1362,-0.3543,0.2502,-0.2413,18.4867,0.0022,-0.0022,0.649,0.1598,-0.317,--,--,--,--,--,--,17.0121,0.0016,-0.0012,1.0531,0.0447,-0.0235,--,--,--,--,--,--,--,--,--,--,--,--,16.9243,0.0002,-0.0002,0.7184,0.1287,-0.2528,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,691.5
196-G-,7351.4771,5.251,-8.8885,-0.404,0.1322,-0.1577,105.7957,55.5664,-30.2075,0.3197,0.3003,-0.3005,-0.1525,0.2936,-0.1522,18.4877,0.0019,-0.0021,0.5119,0.2206,-0.3161,--,--,--,--,--,--,17.0131,0.0014,-0.0011,1.0755,0.0478,-0.0339,--,--,--,--,--,--,--,--,--,--,--,--,16.9243,0.0003,-0.0002,0.6178,0.174,-0.2412,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,633.1
212-G0,7879.0079,0.0036,-0.0036,0.1585,0.0006,-0.0006,55.7725,0.1488,-0.1532,--,--,--,--,--,--,18.3768,0.0001,-0.0001,-0.0124,0.0039,-0.004,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.0678,0.0004,-0.0004,-0.0301,0.0037,-0.0037,--,--,--,--,--,--,17.0556,0.0004,-0.0005,0.1004,0.0031,-0.0032,17.0443,0.0007,-0.0007,-0.4126,0.0045,-0.0047,17.0404,0.0006,-0.0006,-0.1155,0.0037,-0.0038,15998.7
212-G+,879.0528,0.0044,-0.0043,0.159,0.0006,-0.0006,55.7222,0.1523,-0.153,-0.0329,0.0263,-0.026,-0.0429,0.0082,-0.0083,18.3788,0.0002,-0.0002,-0.0195,0.0039,-0.0039,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.0696,0.0008,-0.0008,-0.0366,0.004,-0.0041,--,--,--,--,--,--,17.0549,0.0008,-0.0008,0.098,0.0035,-0.0036,17.0449,0.0013,-0.0013,-0.4183,0.0055,-0.0056,17.0402,0.0011,-0.001,-0.1195,0.0043,-0.0044,15608.8
212-G-,7879.0524,0.0043,-0.0042,-0.159,0.0006,-0.0006,55.5134,0.1827,-0.1814,-0.0317,0.0278,-0.0283,-0.0392,0.0055,-0.0057,18.3788,0.0002,-0.0002,-0.0222,0.0044,-0.0044,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.0692,0.0006,-0.0006,-0.0358,0.0039,-0.0039,--,--,--,--,--,--,17.0545,0.0006,-0.0006,0.0988,0.0034,-0.0034,17.0443,0.001,-0.001,-0.4168,0.0051,-0.0051,17.0397,0.0008,-0.0008,-0.1184,0.0041,-0.0041,15609.5
212-GSA0,7879.0078,0.0037,-0.0036,0.1585,0.0006,-0.0006,55.7728,0.1514,-0.1497,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.4342,0.0001,-0.0001,-0.0326,0.004,-0.0039,--,--,--,--,--,--,17.0678,0.0004,-0.0004,-0.0301,0.0037,-0.0037,--,--,--,--,--,--,17.0556,0.0004,-0.0004,0.1004,0.0032,-0.0031,17.0443,0.0007,-0.0007,-0.4126,0.0046,-0.0045,17.0404,0.0006,-0.0006,-0.1155,0.0038,-0.0037,16041.2
212-GSA+,7879.0529,0.0044,-0.0043,0.159,0.0006,-0.0006,55.7228,0.1549,-0.1522,-0.0337,0.0255,-0.0258,-0.0432,0.0079,-0.0082,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.4356,0.0003,-0.0003,-0.039,0.004,-0.004,--,--,--,--,--,--,17.0696,0.0008,-0.0008,-0.0367,0.0041,-0.004,--,--,--,--,--,--,17.0549,0.0008,-0.0008,0.0979,0.0035,-0.0035,17.045,0.0013,-0.0013,-0.4185,0.0055,-0.0054,17.0403,0.0011,-0.001,-0.1196,0.0043,-0.0043,15650.5
212-GSA-,7879.0524,0.0043,-0.0043,-0.159,0.0006,-0.0006,55.4996,0.1872,-0.1814,-0.0349,0.0281,-0.0286,-0.0398,0.0056,-0.0057,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.4356,0.0003,-0.0002,-0.042,0.0046,-0.0045,--,--,--,--,--,--,17.0692,0.0006,-0.0006,-0.036,0.004,-0.0039,--,--,--,--,--,--,17.0545,0.0006,-0.0006,0.0986,0.0034,-0.0034,17.0444,0.001,-0.001,-0.4171,0.0052,-0.0051,17.0398,0.0008,-0.0008,-0.1186,0.0041,-0.0041,15650.9
230-G0,7123.5923,0.3871,-0.3939,0.8028,0.2318,-0.2161,24.4241,5.2298,-3.6372,--,--,--,--,--,--,18.7161,0.0002,-0.0002,0.5297,0.1933,-0.3028,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.5289,0.0001,-0.0001,0.5757,0.1757,-0.2748,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2696.4
230-G+,7122.6952,0.4506,-0.4494,0.8847,0.2948,-0.2292,22.8899,4.7289,-3.7964,0.832,0.1226,-0.1904,-0.2738,0.7924,-0.5336,18.7162,0.0001,-0.0002,0.4256,0.2359,-0.4653,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.529,0.0001,-0.0001,0.487,0.2132,-0.4208,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2719.6
230-G-,7122.7199,0.4322,-0.4391,-0.8699,0.2256,-0.3295,23.026,4.9655,-4.1755,0.1476,0.6291,-0.7258,0.8271,0.1214,-0.1885,18.7162,0.0001,-0.0002,0.4435,0.2283,-0.518,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.529,0.0001,-0.0001,0.5025,0.2062,-0.4709,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2682.4
259-G0,7879.7156,0.5158,-0.4989,0.0539,0.0076,-0.0066,116.0954,10.918,-10.0685,--,--,--,--,--,--,18.9457,0.0041,-0.0039,0.407,0.072,-0.0832,--,--,--,--,--,--,18.1096,0.0061,-0.0057,0.4341,0.0695,-0.079,--,--,--,--,--,--,--,--,--,--,--,--,17.9907,0.0014,-0.0013,0.4419,0.0713,-0.0827,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,56.7
259-G+,7879.674,0.6158,-0.6051,0.0789,0.0268,-0.027,87.4606,37.7473,-18.5678,0.0965,0.1206,-0.1227,0.1383,0.1008,-0.0976,18.9482,0.0056,-0.0051,0.1291,0.3031,-0.3165,--,--,--,--,--,--,18.1136,0.0073,-0.0069,0.1485,0.3048,-0.3154,--,--,--,--,--,--,--,--,--,--,--,--,17.9912,0.0016,-0.0015,0.1849,0.2846,-0.3008,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,58.8
259-G-,7879.9941,0.6227,-0.5772,-0.0775,0.0293,-0.0298,85.1033,45.4544,-20.1661,0.1442,0.1171,-0.1212,0.0936,0.146,-0.1348,18.9477,0.0057,-0.005,0.1145,0.3531,-0.3709,--,--,--,--,--,--,18.1094,0.0063,-0.006,0.1803,0.3186,-0.3459,--,--,--,--,--,--,--,--,--,--,--,--,17.9911,0.0016,-0.0015,0.171,0.3305,-0.351,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,54.1
259-GSA0,7880.0398,0.4142,-0.3819,0.0516,0.0057,-0.0053,122.3395,9.3878,-8.4728,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.9896,0.0017,-0.0016,0.4407,0.0562,-0.0614,--,--,--,--,--,--,18.0035,0.0048,-0.0047,0.4513,0.0574,-0.063,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,135.8
259-GSA+,7879.9212,0.4244,-0.3893,0.0637,0.011,-0.0109,106.2348,14.7303,-10.6156,0.0113,0.0286,-0.0299,0.1242,0.0555,-0.066,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.9925,0.0022,-0.0021,0.3083,0.1173,-0.1192,--,--,--,--,--,--,17.9915,0.0012,-0.0012,0.3403,0.1133,-0.1195,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,258.3
259-GSA-,7880.1707,0.446,-0.4138,-0.0666,0.0111,-0.0111,98.3473,15.2509,-10.5882,0.157,0.065,-0.0744,0.0277,0.0345,-0.0371,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.9925,0.0021,-0.0021,0.2527,0.1321,-0.1333,--,--,--,--,--,--,17.9914,0.0012,-0.0011,0.2894,0.1259,-0.1306,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,124.9
270-G0,7511.8795,0.057,-0.0569,0.6253,0.0036,-0.0073,76.7123,0.652,-0.3873,--,--,--,--,--,--,19.09,0.0002,-0.0002,0.0129,0.0192,-0.0096,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.5624,0.0001,-0.0001,0.0575,0.0185,-0.0092,18.0977,0.0018,-0.0018,0,0,0,18.1078,0.0021,-0.0022,0,0,0,18.1114,0.0013,-0.0013,0,0,0,6729.1
270-G+,7513.7715,0.1023,-0.0995,0.6045,0.011,-0.0196,78.5759,1.6177,-1.1907,-0.0069,0.0263,-0.0246,-0.1557,0.0146,-0.0138,19.1,0.0019,-0.0018,0.041,0.0515,-0.0296,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.5648,0.0006,-0.0006,0.1008,0.0476,-0.0275,18.0959,0.0044,-0.0043,0,0,0,18.1074,0.0058,-0.0057,0,0,0,18.109,0.0032,-0.0032,0,0,0,6063
270-G-,7513.7218,0.1239,-0.1185,-0.6032,0.0194,-0.012,77.9484,1.7453,-1.5931,0.0219,0.0436,-0.0492,-0.1592,0.0127,-0.0131,19.0996,0.0016,-0.0017,0.0453,0.0506,-0.0319,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.5646,0.0005,-0.0005,0.1043,0.0472,-0.0299,18.0957,0.0042,-0.004,0,0,0,18.1072,0.0056,-0.0054,0,0,0,18.1089,0.0031,-0.003,0,0,0,6064.3
275-G0,7247.4052,0.2229,-0.2238,0.015,0.0118,-0.01,184.308,16.926,-14.9688,--,--,--,--,--,--,19.1325,0.0051,-0.0046,0.7292,0.0263,-0.0301,--,--,--,--,--,--,17.5922,0.0045,-0.0041,0.7632,0.0225,-0.0261,--,--,--,--,--,--,--,--,--,--,--,--,17.6028,0.0065,-0.006,0.732,0.0252,-0.0304,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,163.8
275-G+,7247.9227,0.2666,-0.2514,0.0192,0.0239,-0.014,136.6133,27.5288,-19.5806,0.087,0.0302,-0.0243,0.0434,0.0907,-0.0944,19.1108,0.0055,-0.0051,0.623,0.074,-0.084,--,--,--,--,--,--,17.574,0.0047,-0.0044,0.673,0.064,-0.0731,--,--,--,--,--,--,--,--,--,--,--,--,17.5901,0.0059,-0.0056,0.637,0.0717,-0.0847,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,147.7
275-G-,7247.929,0.2531,-0.251,-0.0195,0.0137,-0.0239,137.0444,32.7361,-21.3377,0.0426,0.1044,-0.1115,0.0878,0.0311,-0.0246,19.1107,0.0055,-0.0052,0.6255,0.0814,-0.0866,--,--,--,--,--,--,17.5739,0.0048,-0.0045,0.6752,0.07,-0.074,--,--,--,--,--,--,--,--,--,--,--,--,17.5899,0.006,-0.0056,0.6398,0.0779,-0.0862,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,138
