#SourceId,RA[deg],Dec[deg],Remarks
GaiaDR3-ULENS-198,264.4758,-27.2099,BLG675.25.90179 OGLE-2014-BLG-0993 
GaiaDR3-ULENS-200,270.8784,-32.9920,BLG516.29.58361 OGLE-2016-BLG-1484 MOA-2016-BLG-583 KMT-2016-BLG-1524 
GaiaDR3-ULENS-202,278.4588,-23.2756,MOA-2017-BLG-002 
GaiaDR3-ULENS-203,265.7712,-33.3661,BLG661.17.20507 OGLE-2015-BLG-0670 KMT-2016-BLG-1088 
GaiaDR3-ULENS-204,221.5741,-61.8966,GD1219.15.2476 
GaiaDR3-ULENS-206,264.5382,-33.2014,BLG661.32.332 OGLE-2016-BLG-0370 
GaiaDR3-ULENS-207,248.7014,-47.0730,GD1114.11.1805 
GaiaDR3-ULENS-209,270.2787,-25.7036,OGLE-2016-BLG-1133 
GaiaDR3-ULENS-211,202.9240,-63.6248,GD1268.32.3277 
GaiaDR3-ULENS-212,265.6344,-34.1037,BLG603.25.85063 OGLE-2017-BLG-0157 KMT-2017-BLG-0924 Gaia17bdk 
GaiaDR3-ULENS-216,265.0203,-22.8762,BLG625.12.100189 OGLE-2016-BLG-0365 
GaiaDR3-ULENS-220,275.3709,-18.6688,BLG571.25.2358 
GaiaDR3-ULENS-221,269.0137,-34.6180,BLG509.06.60012 
GaiaDR3-ULENS-223,248.8053,-49.5275,GD1116.12.4538 
GaiaDR3-ULENS-225,265.7006,-35.1805,BLG604.25.52475 OGLE-2016-BLG-1382 KMT-2016-BLG-1599 
GaiaDR3-ULENS-226,265.2607,-26.2211,BLG652.12.71950 OGLE-2016-BLG-0871 KMT-2016-BLG-0943 
GaiaDR3-ULENS-227,262.3591,-30.9818,BLG662.05.6243 OGLE-2015-BLG-0211 
GaiaDR3-ULENS-229,251.5222,-38.5163,GD2150.13.1140 
GaiaDR3-ULENS-230,272.6730,-28.2521,BLG519.09.44226 
GaiaDR3-ULENS-231,255.3684,-31.3317,BLG885.18.55350 
GaiaDR3-ULENS-235,193.4373,-65.2628,GD1292.21.4478 
GaiaDR3-ULENS-236,266.9737,-24.2390,BLG633.26.16850 OGLE-2016-BLG-0091 KMT-2016-BLG-0250 
GaiaDR3-ULENS-237,258.7924,-30.3355,BLG617.05.57777 OGLE-2017-BLG-0165 
GaiaDR3-ULENS-239,265.8492,-25.3117,BLG714.08.34194 
GaiaDR3-ULENS-240,263.1659,-28.7976,KMT-2016-BLG-0868 
