#GaiaDR3-ULENS-,A_G,MF,D_L,D_L_pl,D_L_mn,M_L,M_L_pl,M_L_mn,G_MS0,G_MS0_pl,G_MS0_mn,G_MSA,G_MSA_pl,G_MSA_mn,G_blend,G_blend_pl,G_blend_mn,P_A,P_0
089, 7.19, M2021, 0.78, 0.51, 0.27, 0.84, 0.90, 0.44, 14.92, 5.19, 4.20, 17.98, 5.19, 4.20, 19.41, 0.32, 0.24, 59.2, 79.6 
089, 7.19, M^-1, 1.15, 0.55, 0.50, 0.45, 0.61, 0.17, 19.49, 2.43, 6.19, 22.55, 2.43, 6.19, 19.41, 0.32, 0.24, 27.4, 49.6 
097, 3.99, K2001, 2.56, 0.82, 0.78, 0.56, 0.36, 0.25, 20.17, 2.53, 3.18, 24.16, 2.53, 3.18, 18.24, 1.04, 0.44, 3.3, 30.6
097, 3.99, M2021, 2.70, 1.20, 0.98, 1.04, 1.23, 0.47, 16.39, 3.77, 2.83, 20.38, 3.77, 2.83, 18.24, 1.04, 0.44, 21.5, 70.8 
097, 3.99, M^-1, 2.64, 0.99, 0.86, 0.66, 0.80, 0.32,19.21, 3.21, 4.44, 23.20, 3.21, 4.44, 18.24, 1.04, 0.44, 11.4, 45.2 
118, 1.06, K2001, 0.41, 0.39, 0.20, 0.27, 0.31, 0.15, 18.95, 3.94, 4.30, 20.00, 3.94, 4.30, 19.62, 1.29, 0.71, 49.5, 59.3 
118, 1.06, M2021, 0.23, 0.18, 0.07, 0.57, 0.32, 0.28, 14.87, 3.76, 3.28, 15.93, 3.76, 3.28 19.62, 1.29, 0.71, 84.0, 89.7
118, 1.06, M^-1, 0.43, 0.51, 0.22, 0.26, 0.32, 0.16, 19.10, 4.94, 4.40, 20.16, 4.94, 4.40, 19.62, 1.29, 0.71, 47.3, 56.6 
142, 0.40, K2001, 5.95, 0.73, 0.85, 0.88, 0.42, 0.29, 19.28, 2.68, 2.46, 19.68, 2.68, 2.46, 20.83, 1.49, 1.00, 69.7, 75.0 
142, 0.40, M2021, 5.57, 0.70, 3.94, 1.22, 0.62, 0.36, 17.29, 2.23, 3.21, 17.69, 2.23, 3.21, 20.83, 1.49, 1.00, 91.4, 93.5
142, 0.40, M^-1, 5.70, 0.78, 3.54, 1.09, 0.59, 0.39, 17.93, 2.86, 2.66, 18.33, 2.86, 2.66, 20.83, 1.49, 1.00, 82.7, 85.7 
155, 1.6, K2001, 2.99, 0.82, 0.68, 0.92, 0.54, 0.30, 17.45, 2.55, 2.19, 19.05, 2.55, 2.19, 19.97, 0.17, 0.12, 64.6, 84.7 
155, 1.6, M2021, 3.34, 1.74, 0.94, 1.41, 1.73, 0.50, 15.46, 2.16, 2.09, 17.06, 2.16, 2.09, 19.97, 0.17, 0.12, 90.7, 97.3
155, 1.6, M^-1, 3.19, 1.39, 0.83, 1.24, 1.14, 0.47, 15.94, 2.63, 2.19, 17.54, 2.63, 2.19, 19.97, 0.17, 0.12, 82.4, 93.1 
212, 2.99, K2001, 8.15, 0.15, 0.90, 0.89, 0.95, 0.31, 19.95, 2.64, 3.58, 22.94, 2.64, 3.58, 25.00, 0.0, 0.0, 77.6, 98.8 
212, 2.99, M2021, 7.31, 0.92, 0.98, 2.21, 1.74, 1.25, 15.29, 4.25, 1.59, 18.27, 4.25, 1.59, 25.00, 0.0, 0.0, 96.8, 99.9 
212, 2.99, M^-1, 7.71, 0.55, 1.23, 1.61, 1.95, 0.83, 16.91, 3.86, 2.92, 19.89, 3.86, 2.92, 25.00, 0.0, 0.0, 91.4, 99.4 
259, 1.93, K2001, 2.24, 1.37, 0.99, 1.21, 1.91, 0.63, 15.47, 4.82, 4.20, 17.40, 4.82, 4.20, 20.32, 0.64, 0.37, 74.5, 86.8 
259, 1.93, M2021, 1.56, 1.22, 0.73, 4.50, 6.42, 2.73, 10.54, 3.22, 1.89, 12.47, 3.22, 1.89, 20.32, 0.64, 0.37, 98.0, 99.3 
259, 1.93, M^-1, 1.68, 1.28, 0.81, 3.68, 5.80, 2.35, 11.02, 4.06, 2.16, 12.95, 4.06, 2.16, 20.32, 0.64, 0.37, 94.2, 97.0 
270, 3.60, K2001, 1.95, 1.00, 0.71, 0.50, 0.30, 0.24, 20.28, 3.05, 3.69, 23.88, 3.05, 3.69, 23.89, 1.11, 0.92, 49.0, 88.4
270, 3.60, M2021, 1.20, 0.85, 0.55, 0.90, 0.81, 0.43, 15.72, 4.80, 4.28, 19.32, 4.80, 4.28, 23.89, 1.11, 0.92, 82.0, 98.2 
270, 3.60, M^-1, 1.80, 1.04, 0.86, 0.52, 0.61, 0.25, 19.88, 3.19, 5.88, 23.48, 3.19, 5.88, 23.89, 1.11, 0.92, 54.3, 90.1 
284, 4.43, K2001, 1.16, 0.28, 0.30, 0.10, 0.04, 0.02, 19.88, 3.19, 5.88, 29.09, 1.71, 1.91, 25.00, 0.0, 0.0, 1.3, 58.9
284, 4.43, M2021, 1.25, 0.55, 0.45, 0.09, 0.06, 0.03, 25.16, 3.38, 2.96, 29.59, 3.38, 2.96, 25.00, 0.0, 0.0, 3.3, 48.7 
284, 4.43, M^-1, 1.58, 0.53, 0.50, 0.07, 0.04, 0.02, 28.24, 0.65, 4.07, 32.67, 0.65, 4.07, 25.00, 0.0, 0.0, 1.2, 24.3 
326, 4.35, K2001, 1.54, 1.33, 0.70, 1.12, 1.26, 0.64, 15.03, 6.05, 4.53, 19.38, 6.05, 4.53, 24.51, 0.49, 1.03, 79.5, 88.0 
326, 4.35, M2021, 0.86, 0.59, 0.31, 2.40, 1.56, 1.13, 10.49, 3.77, 2.18, 14.83, 3.77, 2.18, 24.51, 0.49, 1.03, 98.9, 99.8 
326, 4.35, M^-1, 0.96, 0.82, 0.38, 2.09, 1.66, 1.13, 11.09, 5.03, 2.54, 15.44, 5.03, 2.54, 24.51, 0.49, 1.03, 92.8, 95.8 
343, 2.22, K2001, 1.54, 0.70, 0.57,  0.65, 0.47, 0.25, 18.44, 3.02, 4.36, 20.66, 3.02, 4.36, 25.00, 0.0, 0.0, 92.3, 98.4 
343, 2.22, M2021, 0.95, 0.55, 0.42, 1.15, 1.02, 0.48, 13.88, 4.14, 4.24, 16.10, 4.14, 4.24, 25.00, 0.0, 0.0, 99.1, 99.9 
343, 2.22, M^-1, 1.24, 0.84, 0.59, 0.85, 0.91, 0.40, 16.18, 4.67, 4.82, 18.40, 4.67, 4.82, 25.00, 0.0, 0.0, 94.4, 99.0 
353, 0.08, K2001, 2.12, 0.83, 0.77, 0.75, 0.58, 0.33, 18.07, 3.77, 4.00, 18.15, 3.77, 4.00, 24.08, 0.92, 1.11, 94.8, 95.1 
353, 0.08, M2021, 1.49, 0.71, 0.67, 1.34, 1.01, 0.50, 14.09, 3.26, 3.48, 14.17, 3.26, 3.48, 24.08, 0.92, 1.11, 99.7, 99.8 
353, 0.08, M^-1, 1.68, 0.92, 0.75, 1.14, 0.94, 0.52, 15.16, 4.50, 3.97, 15.24, 4.50, 3.97, 24.08, 0.92, 1.11, 98.3, 98.4 
363, 7.63, K2001, 1.61, 0.82, 0.62, 0.59, 0.41, 0.26, 18.97, 3.23, 4.20, 26.61, 3.23, 4.20,  23.90, 1.10, 0.93, 25.5, 94.0 
363, 7.63, M2021, 1.03, 0.65, 0.46, 1.07, 0.86, 0.46, 14.42, 4.44, 3.86, 22.05, 4.44, 3.86, 23.90, 1.10, 0.93, 66.4, 99.4 
363, 7.63, M^-1, 1.61, 0.82, 0.61, 0.59, 0.42, 0.26, 18.94, 3.24, 4.19, 26.57, 3.24, 4.19, 23.90, 1.10, 0.93, 25.7, 94.1 
